Country/Region,Olum_Orani,Iyilesme_Orani,Aktif_Oran
Congo,1.6356457980823462,44.81105470953187,53.55329949238579
Kenya,1.6345090328130762,42.783990823808935,55.58150014337798
Dominican Republic,1.6279920560259225,52.96723110693007,45.404776837044004
Cyprus,1.5728476821192054,70.86092715231787,27.566225165562912
Turks and Caicos,1.550387596899225,30.23255813953488,68.21705426356588
Morocco,1.514640399406288,69.3327486169208,29.152610983672915
Taiwan,1.4675052410901468,92.87211740041928,5.660377358490567
Azerbaijan,1.4407314945709386,88.05305741871447,10.506211086714591
Georgia,1.4096185737976783,81.8407960199005,16.749585406301822
New Zealand,1.4021669853409815,97.131931166348,1.4659018483110262
Suriname,1.383587786259542,68.98854961832062,29.627862595419845
Malaysia,1.3830493472007082,96.40407169727816,2.2128789555211332
Vietnam,1.3386880856760375,52.47657295850067,46.1847389558233
Guinea-Bissau,1.328740157480315,46.45669291338583,52.21456692913385
Bangladesh,1.3242486511169593,57.61002359293573,41.0657277559473
Australia,1.282051282051282,55.00754147812972,43.710407239819006
Mayotte,1.282051282051282,90.00657462195923,8.71137409598948
CAR,1.277056277056277,35.51948051948052,63.20346320346321
Jamaica,1.2526096033402923,77.76617954070981,20.981210855949893
Lebanon,1.2341325811001411,34.80253878702398,63.96332863187588
Hong Kong,1.194805194805195,63.84415584415585,34.96103896103896
Slovakia,1.1693548387096775,73.54838709677419,25.282258064516128
Aruba,1.1406844106463878,43.346007604562736,55.51330798479087
Liechtenstein,1.1235955056179776,95.50561797752809,3.3707865168539324
Djibouti,1.1069418386491556,94.8780487804878,4.01500938086304
Kazakhstan,1.1027495778699632,71.78399449667508,27.11325592545496
Saudi Arabia,1.0748488878568463,86.93398914947964,11.991161962663515
Madagascar,1.06977486827399,81.01548778540636,17.914737346319658
Paraguay,1.035294117647059,78.0235294117647,20.941176470588236
Cabo Verde,0.9875640087783468,73.51865398683248,25.493782004389175
Malta,0.9513742071881607,70.82452431289641,28.224101479915433
Costa Rica,0.9492168960607499,33.40294257237779,65.64784053156146
Jordan,0.8928571428571428,95.0487012987013,4.058441558441558
Venezuela,0.8744786761738195,54.4688102605498,44.656711063276376
Belarus,0.8466782476679853,93.07037647986219,6.082945272469819
Tajikistan,0.8088714938030006,84.05740378343118,15.133724722765818
Réunion,0.7451564828614009,88.22652757078987,11.028315946348734
Israel,0.7239910003896479,67.1539360726002,32.122072927010144
Mozambique,0.7075471698113208,37.5,61.79245283018868
Palestine,0.6866696521868936,51.55247051798776,47.76085982982535
Kuwait,0.6695695624241559,87.95774145192377,11.372688985652081
Gabon,0.6549377167073328,72.03030692179273,27.314755361499937
Guinea,0.6393528183716075,88.16544885177453,11.195198329853861
Ivory Coast,0.6262540280902292,75.9044202590138,23.46932571289597
Uzbekistan,0.6180469715698393,68.12996644887869,31.25198657955147
Oman,0.6095672320444043,87.85449679729412,11.535935970661479
French Guiana,0.5783191829703458,89.08576350436816,10.335917312661499
UAE,0.57239873878244,90.1269302287978,9.300671032419759
Namibia,0.5656108597285068,21.229260935143287,78.2051282051282
Iceland,0.5181347150259068,94.55958549222798,4.922279792746114
Ghana,0.5019928358811362,91.78144392311185,7.716563241007012
Cayman Islands,0.49261083743842365,99.50738916256158,0.0
Uganda,0.4088307440719542,90.1062959934587,9.484873262469337
Maldives,0.40598290598290604,58.22649572649573,41.36752136752136
Sri Lanka,0.3874603733709053,89.50334624867912,10.109193377949982
Bahrain,0.36372962764345174,93.13576907831845,6.500501294038099
Nepal,0.2988505747126437,70.75402298850575,28.947126436781613
Burundi,0.25316455696202533,76.9620253164557,22.78481012658228
Botswana,0.24875621890547264,7.835820895522389,91.91542288557214
Rwanda,0.23685457129322599,59.59261013737566,40.17053529133112
Qatar,0.15879813010741178,97.09078257145916,2.75041929843343
Singapore,0.049491339015672264,88.04142608376867,11.909082577215655
Caribbean Netherlands,0.0,53.84615384615385,46.15384615384615
Grenada,0.0,95.83333333333334,4.166666666666666
Greenland,0.0,100.0,0.0
Falkland Islands,0.0,100.0,0.0
Saint Kitts and Nevis,0.0,94.11764705882352,5.88235294117647
Dominica,0.0,100.0,0.0
Laos,0.0,95.0,5.0
Vatican City,0.0,100.0,0.0
New Caledonia,0.0,100.0,0.0
French Polynesia,0.0,96.875,3.125
Timor-Leste,0.0,96.0,4.0
Saint Lucia,0.0,96.0,4.0
Macao,0.0,100.0,0.0
St. Vincent Grenadines,0.0,82.14285714285714,17.857142857142858
Faeroe Islands,0.0,72.18045112781954,27.819548872180448
Mongolia,0.0,88.73720136518772,11.262798634812286
Seychelles,0.0,98.4126984126984,1.5873015873015872
Eritrea,0.0,79.7872340425532,20.212765957446805
Gibraltar,0.0,96.84210526315789,3.1578947368421053
Cambodia,0.0,86.41975308641975,13.580246913580247
Bhutan,0.0,88.57142857142857,11.428571428571429
